concelho.y,ano,Pop,H,M
Arouca,2011,22231,10733,11498
Oliveira de Azeméis,2011,68568,33204,35364
Santa Maria da Feira,2011,140007,67688,72319
São João da Madeira,2011,21749,10248,11501
Vale de Cambra,2011,22772,11030,11742
Alijó,2011,11840,5712,6128
Armamar,2011,6258,2953,3305
Carrazeda de Ansiães,2011,6297,3029,3268
Freixo de Espada à Cinta,2011,3736,1800,1936
Lamego,2011,26566,12666,13900
Mesão Frio,2011,4386,2081,2305
Moimenta da Beira,2011,10190,4882,5308
Penedono,2011,2927,1403,1524
Peso da Régua,2011,17036,8068,8968
Sabrosa,2011,6339,3053,3286
Santa Marta de Penaguião,2011,7274,3422,3852
São João da Pesqueira,2011,7799,3845,3954
Sernancelhe,2011,5673,2750,2923
Tabuaço,2011,6347,3038,3309
Tarouca,2011,8018,3881,4137
Torre de Moncorvo,2011,8497,4069,4428
Vila Flor,2011,6636,3180,3456
Vila Nova de Foz Côa,2011,7218,3406,3812
Vila Real,2011,51782,24663,27119
Alfandega da Fé,2011,5035,2437,2598
Boticas,2011,5694,2741,2953
Bragança,2011,35273,16965,18308
Chaves,2011,41225,19730,21495
Macedo de Cavaleiros,2011,15646,7417,8229
Miranda do Douro,2011,7458,3665,3793
Mirandela,2011,23669,11250,12419
Mogadouro,2011,9435,4636,4799
Montalegre,2011,10387,5014,5373
Murça,2011,5938,2880,3058
Valpaços,2011,16699,7866,8833
Vila Pouca de Aguiar,2011,13093,6311,6782
Vimioso,2011,4610,2250,2360
Vinhais,2011,8951,4413,4538
Águeda,2011,47572,22791,24781
Albergaria-a-Velha,2011,25089,12123,12966
Anadia,2011,28958,13844,15114
Aveiro,2011,78093,36838,41255
Estarreja,2011,26878,12939,13939
Ílhavo,2011,38556,18336,20220
Mealhada,2011,20388,9761,10627
Murtosa,2011,10533,5060,5473
Oliveira do Bairro,2011,23201,10997,12204
Ovar,2011,55244,26513,28731
Sever do Vouga,2011,12253,5908,6345
Vagos,2011,22910,10966,11944
Cantanhede,2011,36571,17344,19227
Coimbra,2011,141360,65876,75484
Condeixa-a-Nova,2011,17234,8046,9188
Figueira da Foz,2011,61918,29215,32703
Mira,2011,12410,5863,6547
Montemor-o-Velho,2011,26138,12569,13569
Penacova,2011,15091,7114,7977
Soure,2011,19033,9037,9996
Batalha,2011,15825,7624,8201
Leiria,2011,126753,61117,65636
Marinha Grande,2011,38741,18591,20150
Pombal,2011,55018,26275,28743
Porto de Mós,2011,24273,11815,12458
Alvaiázere,2011,7222,3374,3848
Ansião,2011,13035,6138,6897
Arganil,2011,12027,5726,6301
Castanheira de Pêra,2011,3122,1477,1645
Figueiró dos Vinhos,2011,6102,2863,3239
Góis,2011,4187,1956,2231
Lousã,2011,17549,8490,9059
Miranda do Corvo,2011,13094,6302,6792
Oliveira do Hospital,2011,20722,9929,10793
Pampilhosa da Serra,2011,4430,2042,2388
Pedrógão Grande,2011,3850,1824,2026
Penela,2011,5910,2788,3122
Tábua,2011,12012,5714,6298
Vila Nova de Poiares,2011,7266,3467,3799
Aguiar da Beira,2011,5410,2540,2870
Carregal do Sal,2011,9784,4638,5146
Castro Daire,2011,15182,7292,7890
Mangualde,2011,19772,9498,10274
Mortágua,2011,9531,4546,4985
Nelas,2011,13951,6618,7333
Oliveira de Frades,2011,10246,4862,5384
Penalva do Castelo,2011,7893,3776,4117
Santa Comba Dão,2011,11474,5392,6082
São Pedro do Sul,2011,16695,7809,8886
Sátão,2011,12370,5861,6509
Tondela,2011,28733,13631,15102
Vila Nova de Paiva,2011,5135,2431,2704
Viseu,2011,99093,46663,52430
Vouzela,2011,10469,4979,5490
Mação,2011,7235,3439,3796
Oleiros,2011,5648,2677,2971
Proença-a-Nova,2011,8240,3933,4307
Sertã,2011,15770,7476,8294
Vila de Rei,2011,3470,1580,1890
Fornos de Algodres,2011,4965,2324,2641
Gouveia,2011,13892,6408,7484
Seia,2011,24466,11620,12846
Almeida,2011,7066,3304,3762
Celorico da Beira,2011,7608,3571,4037
Figueira de Castelo Rodrigo,2011,6224,2979,3245
Guarda,2011,42126,20083,22043
Manteigas,2011,3400,1608,1792
Meda,2011,5118,2425,2693
Pinhel,2011,9503,4511,4992
Sabugal,2011,12351,5791,6560
Trancoso,2011,9815,4655,5160
Castelo Branco,2011,55600,26387,29213
Idanha-a-Nova,2011,9566,4553,5013
Penamacor,2011,5585,2721,2864
Vila Velha de Ródão,2011,3495,1625,1870
Belmonte,2011,6808,3273,3535
Covilhã,2011,51196,24402,26794
Fundão,2011,28940,13850,15090
Alcobaça,2011,56472,27296,29176
Alenquer,2011,43285,21045,22240
Arruda dos Vinhos,2011,13702,6701,7001
Bombarral,2011,13102,6307,6795
Cadaval,2011,14196,6851,7345
Caldas da Rainha,2011,51791,24498,27293
Lourinhã,2011,25752,12479,13273
Nazaré,2011,14988,7125,7863
Óbidos,2011,11768,5713,6055
Peniche,2011,27581,13316,14265
Sobral de Monte Agraço,2011,10169,5001,5168
Torres Vedras,2011,79505,38303,41202
Abrantes,2011,38831,18670,20161
Alcanena,2011,13729,6594,7135
Constância,2011,4052,1930,2122
Entroncamento,2011,20322,9636,10686
Ferreira do Zêzere,2011,8562,4056,4506
Ourém,2011,45885,21613,24272
Sardoal,2011,3945,1927,2018
Tomar,2011,40208,19027,21181
Torres Novas,2011,36590,17408,19182
Vila Nova da Barquinha,2011,7341,3554,3787
Amadora,2011,175738,82551,93187
Cascais,2011,207924,97548,110376
Lisboa,2011,537412,246028,291384
Loures,2011,207063,99089,107974
Mafra,2011,78233,38062,40171
Odivelas,2011,146970,69822,77148
Oeiras,2011,172764,80380,92384
Sintra,2011,379786,181594,198192
Vila Franca de Xira,2011,138142,66409,71733
Alcochete,2011,17916,8644,9272
Almada,2011,173574,82221,91353
Barreiro,2011,78574,37162,41412
Moita,2011,66125,31701,34424
Montijo,2011,52347,25304,27043
Palmela,2011,63412,30688,32724
Seixal,2011,160237,76808,83429
Sesimbra,2011,49969,24540,25429
Setúbal,2011,120864,57799,63065
Alcácer do Sal,2011,12938,6268,6670
Grândola,2011,14915,7588,7327
Odemira,2011,26010,13116,12894
Santiago do Cacém,2011,29830,14620,15210
Sines,2011,14185,6991,7194
Alter do Chão,2011,3556,1678,1878
Arronches,2011,3136,1518,1618
Avis,2011,4571,2181,2390
Campo Maior,2011,8429,4091,4338
Castelo de Vide,2011,3371,1609,1762
Crato,2011,3660,1704,1956
Elvas,2011,22890,10980,11910
Fronteira,2011,3364,1598,1766
Gavião,2011,4069,1927,2142
Marvão,2011,3482,1707,1775
Monforte,2011,3304,1535,1769
Mora,2011,4893,2370,2523
Nisa,2011,7337,3479,3858
Ponte de Sor,2011,16570,8006,8564
Portalegre,2011,24602,11820,12782
Alandroal,2011,5787,2809,2978
Arraiolos,2011,7373,3577,3796
Borba,2011,7317,3608,3709
Estremoz,2011,14186,6743,7443
Évora,2011,56218,26613,29605
Montemor-o-Novo,2011,17275,8364,8911
Mourão,2011,2644,1301,1343
Portel,2011,6381,3139,3242
Redondo,2011,6994,3407,3587
Reguengos de Monsaraz,2011,10784,5259,5525
Sousel,2011,5016,2356,2660
Vendas Novas,2011,11857,5685,6172
Viana do Alentejo,2011,5706,2763,2943
Vila Viçosa,2011,8273,4032,4241
Aljustrel,2011,9146,4518,4628
Almodôvar,2011,7387,3635,3752
Alvito,2011,2527,1214,1313
Barrancos,2011,1807,877,930
Beja,2011,35616,17282,18334
Castro Verde,2011,7295,3582,3713
Cuba,2011,4898,2400,2498
Ferreira do Alentejo,2011,8253,4013,4240
Mértola,2011,7147,3524,3623
Moura,2011,15005,7349,7656
Ourique,2011,5322,2611,2711
Serpa,2011,15570,7616,7954
Vidigueira,2011,5902,2892,3010
Almeirim,2011,23483,11120,12363
Alpiarça,2011,7652,3677,3975
Azambuja,2011,22078,11291,10787
Benavente,2011,29372,14313,15059
Cartaxo,2011,24522,11845,12677
Chamusca,2011,10071,4853,5218
Coruche,2011,19762,9444,10318
Golegã,2011,5435,2530,2905
Rio Maior,2011,21201,10261,10940
Salvaterra de Magos,2011,22223,10650,11573
Santarém,2011,61788,29270,32518
Albufeira,2011,40351,19681,20670
Alcoutim,2011,2816,1398,1418
Aljezur,2011,5787,2851,2936
Castro Marim,2011,6634,3282,3352
Faro,2011,63172,30124,33048
Lagoa (Algarve),2011,22798,11147,11651
Lagos,2011,30805,14855,15950
Loulé,2011,69988,33936,36052
Monchique,2011,5886,2935,2951
Olhão,2011,45157,21872,23285
Portimão,2011,55265,26506,28759
São Brás de Alportel,2011,10558,5154,5404
Silves,2011,36780,18245,18535
Tavira,2011,25860,12522,13338
Vila do Bispo,2011,5238,2594,2644
Vila Real de Santo António,2011,19045,9048,9997
Arcos de Valdevez,2010,22906,10455,12451
Caminha,2010,16726,7754,8972
Melgaço,2010,9245,4094,5151
Monção,2010,19282,8762,10520
Paredes de Coura,2010,9213,4390,4823
Ponte da Barca,2010,12083,5606,6477
